epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,34214.5,1.05918,0.50287,0.90831,0.87311,0.77007,0.83182,0.5164,1.31873,0.58021,1.00936,0.002971,0.002971,0.002971
144,34446.2,1.05971,0.50613,0.91007,0.87348,0.7697,0.83177,0.51632,1.31901,0.58008,1.0094,0.0029215,0.0029215,0.0029215
145,34680.2,1.05542,0.50511,0.90663,0.8724,0.77033,0.83189,0.51648,1.31896,0.58019,1.00924,0.002872,0.002872,0.002872
146,34913.2,1.05321,0.50035,0.90951,0.86963,0.77113,0.83193,0.5168,1.31926,0.58007,1.00928,0.0028225,0.0028225,0.0028225
147,35145.9,1.05504,0.5012,0.91054,0.87033,0.77106,0.83244,0.51702,1.31943,0.58008,1.00918,0.002773,0.002773,0.002773
148,35378.9,1.05362,0.49815,0.90975,0.86727,0.77311,0.83294,0.51692,1.31947,0.57988,1.00917,0.0027235,0.0027235,0.0027235
149,35612.9,1.04959,0.5002,0.90603,0.86646,0.77273,0.83336,0.51729,1.31972,0.5799,1.0092,0.002674,0.002674,0.002674
150,35844.1,1.04344,0.49408,0.90548,0.86592,0.77352,0.83326,0.51723,1.31993,0.57967,1.00919,0.0026245,0.0026245,0.0026245
151,36078.4,1.0571,0.50188,0.90924,0.86718,0.773,0.83344,0.51724,1.31997,0.57953,1.00925,0.002575,0.002575,0.002575
152,36312.3,1.05115,0.5002,0.90628,0.86837,0.77283,0.8335,0.51717,1.3202,0.57929,1.00929,0.0025255,0.0025255,0.0025255
153,36544,1.04718,0.4981,0.90479,0.86852,0.77292,0.83339,0.51672,1.32034,0.57925,1.00922,0.002476,0.002476,0.002476
154,36777.8,1.047,0.49811,0.90534,0.86807,0.77309,0.83323,0.51656,1.32043,0.57912,1.00924,0.0024265,0.0024265,0.0024265
155,37010,1.03512,0.48907,0.90361,0.86922,0.77285,0.83347,0.51678,1.32054,0.57882,1.00922,0.002377,0.002377,0.002377
156,37242.9,1.04425,0.49484,0.90647,0.86924,0.77306,0.8335,0.51686,1.3208,0.57873,1.00927,0.0023275,0.0023275,0.0023275
157,37475.8,1.04005,0.49203,0.90322,0.86994,0.77408,0.83469,0.51716,1.32079,0.57857,1.00927,0.002278,0.002278,0.002278
158,37708.1,1.03839,0.49148,0.9043,0.87067,0.77468,0.83543,0.51692,1.32088,0.5784,1.00939,0.0022285,0.0022285,0.0022285
159,37942.1,1.03867,0.49202,0.9037,0.86957,0.77509,0.83551,0.51686,1.32108,0.57818,1.00943,0.002179,0.002179,0.002179
160,38174.7,1.03496,0.48992,0.90319,0.87022,0.77493,0.83648,0.51708,1.32132,0.57808,1.00953,0.0021295,0.0021295,0.0021295
161,38408.3,1.03557,0.49391,0.90483,0.87056,0.77481,0.83641,0.51731,1.32159,0.57793,1.00963,0.00208,0.00208,0.00208
162,38668.6,1.02842,0.48632,0.90164,0.87043,0.77534,0.83648,0.51742,1.32157,0.57773,1.00972,0.0020305,0.0020305,0.0020305
163,38899.1,1.02741,0.48642,0.90249,0.86945,0.77555,0.83638,0.51733,1.3218,0.57766,1.00975,0.001981,0.001981,0.001981
164,39133.6,1.01952,0.48155,0.89993,0.86951,0.77589,0.83638,0.51733,1.3222,0.57749,1.00985,0.0019315,0.0019315,0.0019315
165,39365.8,1.01647,0.48255,0.89719,0.86913,0.77588,0.83634,0.51731,1.32237,0.57736,1.00994,0.001882,0.001882,0.001882
166,39597.4,1.02947,0.486,0.9023,0.86813,0.77536,0.83638,0.51751,1.32276,0.57732,1.01002,0.0018325,0.0018325,0.0018325
167,39830.3,1.02625,0.48335,0.89914,0.86816,0.77534,0.83638,0.51751,1.323,0.57712,1.01009,0.001783,0.001783,0.001783
168,40064,1.01873,0.48132,0.90154,0.86677,0.77638,0.8365,0.51773,1.32318,0.57695,1.01015,0.0017335,0.0017335,0.0017335
169,40296.7,1.02114,0.47953,0.89932,0.8674,0.77671,0.83677,0.51774,1.32344,0.57685,1.01028,0.001684,0.001684,0.001684
170,40527.8,1.0145,0.4785,0.90004,0.86596,0.77658,0.83587,0.51756,1.32379,0.57678,1.01043,0.0016345,0.0016345,0.0016345
171,40760.9,1.02067,0.48019,0.89839,0.86745,0.77651,0.83585,0.51729,1.32403,0.57686,1.01052,0.001585,0.001585,0.001585
172,40996.4,1.01617,0.47852,0.89815,0.86796,0.77762,0.83625,0.51731,1.32429,0.57687,1.01057,0.0015355,0.0015355,0.0015355
173,41230.4,1.01441,0.47832,0.89991,0.86758,0.77781,0.8363,0.51747,1.32452,0.57692,1.01062,0.001486,0.001486,0.001486
174,41462.3,0.99934,0.46786,0.89435,0.86535,0.77858,0.83621,0.51729,1.32494,0.577,1.01079,0.0014365,0.0014365,0.0014365
175,41694.9,1.0043,0.47315,0.89589,0.86313,0.7801,0.8362,0.51751,1.32526,0.57695,1.01091,0.001387,0.001387,0.001387
176,41930,1.01229,0.47617,0.89726,0.8626,0.78058,0.83611,0.51724,1.32568,0.57689,1.01106,0.0013375,0.0013375,0.0013375
177,42162.8,1.00327,0.47337,0.89358,0.8625,0.78157,0.83676,0.51712,1.32588,0.57678,1.0111,0.001288,0.001288,0.001288
178,42396.2,1.00476,0.47286,0.89441,0.86177,0.78167,0.83673,0.51771,1.32617,0.57663,1.01126,0.0012385,0.0012385,0.0012385
179,42630,0.99875,0.47179,0.89512,0.86151,0.78285,0.83664,0.5177,1.32638,0.57651,1.01127,0.001189,0.001189,0.001189
180,42862,0.99724,0.46913,0.89538,0.86124,0.78411,0.83662,0.51762,1.32661,0.57623,1.01137,0.0011395,0.0011395,0.0011395
181,43094.9,0.99591,0.46706,0.89255,0.86033,0.78396,0.83682,0.51744,1.32682,0.5761,1.01146,0.00109,0.00109,0.00109
182,43329.4,0.98916,0.46536,0.89242,0.86014,0.78384,0.83665,0.5174,1.327,0.57599,1.01159,0.0010405,0.0010405,0.0010405
183,43562.9,0.99166,0.46775,0.89398,0.8602,0.78417,0.83671,0.51755,1.32722,0.57596,1.01169,0.000991,0.000991,0.000991
