epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,43593,1.04268,0.49655,0.90342,0.89188,0.76191,0.82402,0.51329,1.32432,0.58397,1.01456,0.002872,0.002872,0.002872
146,43811.7,1.03916,0.49199,0.90628,0.89346,0.75994,0.82335,0.513,1.32451,0.58394,1.01474,0.0028225,0.0028225,0.0028225
147,44026.8,1.04098,0.49425,0.90712,0.89439,0.75911,0.82321,0.51315,1.32442,0.58415,1.01464,0.002773,0.002773,0.002773
148,44241.2,1.03955,0.49097,0.90682,0.89408,0.7593,0.8233,0.51339,1.32441,0.58422,1.01463,0.0027235,0.0027235,0.0027235
149,44457.3,1.03119,0.49033,0.9042,0.89366,0.75939,0.82382,0.51292,1.32446,0.58424,1.01461,0.002674,0.002674,0.002674
150,44669.9,1.0295,0.48586,0.90351,0.89415,0.75981,0.82408,0.51291,1.32436,0.58423,1.01464,0.0026245,0.0026245,0.0026245
151,44887,1.04084,0.49305,0.90602,0.89375,0.75995,0.82403,0.51284,1.32442,0.58426,1.01462,0.002575,0.002575,0.002575
152,45102.3,1.03712,0.4913,0.90499,0.8942,0.75955,0.82411,0.51301,1.32453,0.58409,1.01471,0.0025255,0.0025255,0.0025255
153,45317.5,1.03111,0.48889,0.90279,0.8945,0.76009,0.82424,0.51301,1.3246,0.58405,1.01478,0.002476,0.002476,0.002476
154,45536.1,1.03278,0.48934,0.90383,0.8943,0.75937,0.82451,0.51325,1.32461,0.58401,1.0148,0.0024265,0.0024265,0.0024265
155,45752.1,1.02153,0.48245,0.90197,0.894,0.75924,0.82474,0.51347,1.3247,0.58392,1.0148,0.002377,0.002377,0.002377
156,45968.3,1.02806,0.4853,0.90311,0.89462,0.75937,0.82507,0.51354,1.32472,0.58387,1.0148,0.0023275,0.0023275,0.0023275
157,46185.9,1.02728,0.4846,0.90195,0.89238,0.75974,0.82425,0.51336,1.32462,0.58366,1.0148,0.002278,0.002278,0.002278
158,46400,1.02504,0.48317,0.90154,0.89356,0.76045,0.8253,0.51359,1.32469,0.58359,1.01481,0.0022285,0.0022285,0.0022285
159,46616.7,1.02387,0.48337,0.90074,0.89249,0.75978,0.82448,0.51336,1.32478,0.58359,1.0148,0.002179,0.002179,0.002179
160,46830.9,1.02225,0.48225,0.90074,0.89208,0.75772,0.82376,0.51376,1.32471,0.58343,1.01474,0.0021295,0.0021295,0.0021295
161,47047.9,1.01982,0.48655,0.8999,0.89482,0.75789,0.82319,0.5138,1.32472,0.58337,1.01469,0.00208,0.00208,0.00208
162,47263.8,1.01314,0.47841,0.89745,0.8939,0.75795,0.82341,0.51385,1.3248,0.58324,1.01478,0.0020305,0.0020305,0.0020305
163,47477.8,1.01196,0.47731,0.8989,0.8923,0.75808,0.82349,0.51383,1.32479,0.58312,1.01481,0.001981,0.001981,0.001981
164,47692.9,1.00457,0.47389,0.89793,0.8926,0.7582,0.82416,0.51405,1.32482,0.58324,1.01483,0.0019315,0.0019315,0.0019315
165,47907.1,1.0005,0.47208,0.89359,0.89277,0.7582,0.82425,0.51391,1.32489,0.58323,1.0149,0.001882,0.001882,0.001882
166,48121.3,1.01368,0.47598,0.89855,0.89092,0.75852,0.82422,0.51388,1.32497,0.5832,1.01492,0.0018325,0.0018325,0.0018325
167,48338,1.01215,0.47532,0.89576,0.89182,0.75833,0.82423,0.51363,1.32493,0.58316,1.01486,0.001783,0.001783,0.001783
168,48552.2,1.00366,0.47326,0.89826,0.89262,0.75835,0.82433,0.51363,1.3251,0.58302,1.01487,0.0017335,0.0017335,0.0017335
169,48768.5,1.00446,0.47109,0.8965,0.89132,0.75852,0.82451,0.51356,1.32525,0.58301,1.01491,0.001684,0.001684,0.001684
